age_group,Very often,Sometimes,Rarely,Never
18-25,16.788598574821854,58.85985748218528,18.02375296912114,6.327790973871735
26-35,11.778682959945689,61.02813607905257,20.521234065022252,6.671946895979483
36-45,7.691630731320955,58.813693566839746,24.447769075068205,9.046906626771099
46-60,6.761565836298933,54.87544483985766,26.29893238434164,12.06405693950178
